version,observe_cost,test_type,level,policy_net,always_try_net,always_observe_net,oracle_selective_net,delta_vs_always_observe,delta_vs_always_try,gap_to_oracle,observe_rate,sign_correct_rate,false_observe_rate,false_direct_rate,fallback_rate,positive_net_rate,exact_signature_determinism_rate,single_cue_max_predictiveness,cue_pair_max_predictiveness,train_pair_coverage_rate,hidden_h_probe_from_pre_surface_accuracy
null,0.03,A,level2,0.7358672426569153,0.6274958354572444,0.7358672426569153,0.7358672426569153,0.0,0.10837140719967087,0.0,1.0,0.5518363898884744,0.4481636101115256,0.0,0.0,0.5518363898884744,0.0,0.5518363898884744,0.5518363898884744,1.0,0.3788721308888858
null,0.03,A,level3,0.7358672426569153,0.6274958354572444,0.7358672426569153,0.7358672426569153,0.0,0.10837140719967087,0.0,1.0,0.5518363898884744,0.4481636101115256,0.0,0.0,0.5518363898884744,0.0,0.5518363898884744,0.5518363898884744,1.0,0.3788721308888858
null,0.03,B,level1,0.7358672426569153,0.6274958354572444,0.7358672426569153,0.7358672426569153,0.0,0.10837140719967087,0.0,1.0,0.5518363898884744,0.4481636101115256,0.0,0.0,0.5518363898884744,0.0,0.5518363898884744,0.5518363898884744,1.0,0.3788721308888858
null,0.03,B,level2,0.7358672426569153,0.6274958354572444,0.7358672426569153,0.7358672426569153,0.0,0.10837140719967087,0.0,1.0,0.5518363898884744,0.4481636101115256,0.0,0.0,0.5518363898884744,0.0,0.5518363898884744,0.5518363898884744,1.0,0.3788721308888858
null,0.03,B,level3,0.7358672426569153,0.6274958354572444,0.7358672426569153,0.7358672426569153,0.0,0.10837140719967087,0.0,1.0,0.5518363898884744,0.4481636101115256,0.0,0.0,0.5518363898884744,0.0,0.5518363898884744,0.5518363898884744,1.0,0.3788721308888858
null,0.05,A,level1,0.7158672426569153,0.6274958354572444,0.7158672426569153,0.7158672426569153,0.0,0.08837140719967085,0.0,1.0,0.5518363898884744,0.4481636101115256,0.0,0.0,0.5518363898884744,0.0,0.5518363898884744,0.5518363898884744,1.0,0.3788721308888858
null,0.05,A,level2,0.7158672426569153,0.6274958354572444,0.7158672426569153,0.7158672426569153,0.0,0.08837140719967085,0.0,1.0,0.5518363898884744,0.4481636101115256,0.0,0.0,0.5518363898884744,0.0,0.5518363898884744,0.5518363898884744,1.0,0.3788721308888858
null,0.05,A,level3,0.7158672426569153,0.6274958354572444,0.7158672426569153,0.7158672426569153,0.0,0.08837140719967085,0.0,1.0,0.5518363898884744,0.4481636101115256,0.0,0.0,0.5518363898884744,0.0,0.5518363898884744,0.5518363898884744,1.0,0.3788721308888858
null,0.05,B,level1,0.7158672426569153,0.6274958354572444,0.7158672426569153,0.7158672426569153,0.0,0.08837140719967085,0.0,1.0,0.5518363898884744,0.4481636101115256,0.0,0.0,0.5518363898884744,0.0,0.5518363898884744,0.5518363898884744,1.0,0.3788721308888858
null,0.05,B,level2,0.7158672426569153,0.6274958354572444,0.7158672426569153,0.7158672426569153,0.0,0.08837140719967085,0.0,1.0,0.5518363898884744,0.4481636101115256,0.0,0.0,0.5518363898884744,0.0,0.5518363898884744,0.5518363898884744,1.0,0.3788721308888858
null,0.05,B,level3,0.7158672426569153,0.6274958354572444,0.7158672426569153,0.7158672426569153,0.0,0.08837140719967085,0.0,1.0,0.5518363898884744,0.4481636101115256,0.0,0.0,0.5518363898884744,0.0,0.5518363898884744,0.5518363898884744,1.0,0.3788721308888858
null,0.07,A,level1,0.6958672426569152,0.6274958354572444,0.6958672426569152,0.6958672426569152,0.0,0.06837140719967083,0.0,1.0,0.5518363898884744,0.4481636101115256,0.0,0.0,0.5518363898884744,0.0,0.5518363898884744,0.5518363898884744,1.0,0.3788721308888858
null,0.07,A,level2,0.6958672426569152,0.6274958354572444,0.6958672426569152,0.6958672426569152,0.0,0.06837140719967083,0.0,1.0,0.5518363898884744,0.4481636101115256,0.0,0.0,0.5518363898884744,0.0,0.5518363898884744,0.5518363898884744,1.0,0.3788721308888858
